Detector-name Unit-Conversion Colour-Correction UCxCC
100-1a 238.6746 1.00442 239.72883
100-1b 242.0612 1.00022 242.11421
100-2a 244.1066 0.99841 243.71862
100-2b 243.3663 0.99931 243.19726
100-3a 246.0976 0.99609 245.13645
100-3b 240.203 1.00278 240.8706
100-4a 246.6126 0.9956 245.52712
100-4b 247.7328 0.99429 246.31808
143-1a 366.7128 1.01403 371.85877
143-1b 369.8268 1.01102 373.90352
143-2a 366.8748 1.01395 371.99155
143-2b 370.7999 1.01009 374.54173
143-3a 360.5087 1.02017 367.78187
143-3b 366.1708 1.01463 371.52848
143-4a 371.5267 1.00948 375.05063
143-4b 369.3806 1.01146 373.61479
143-5 380.1839 1.00114 380.61691
143-6 373.376 1.00764 376.228
143-7 381.4835 0.99992 381.45114
143-8 376.4326 1.00475 378.22179
217-1 486.4649 0.98595 479.62914
217-2 486.7221 0.98527 479.5509
217-3 487.4423 0.98449 479.88089
217-4 486.5254 0.98592 479.67539
217-5a 480.1251 0.99499 477.72147
217-5b 480.7874 0.99389 477.85016
217-6a 480.9493 0.99352 477.83286
217-6b 480.9435 0.99347 477.80482
217-7a 481.7061 0.99244 478.06328
217-7b 481.1626 0.99272 477.66122
217-8a 479.9856 0.99507 477.61768
217-8b 481.0471 0.99383 478.07902
353-1 288.3674 0.99152 285.92168
353-2 287.7097 0.99046 284.964
353-3a 289.0136 0.99189 286.67046
353-3b 289.1216 0.99251 286.95592
353-4a 286.4243 0.98638 282.52371
353-4b 286.4629 0.98694 282.72072
353-5a 289.7868 0.99464 288.23461
353-5b 289.7567 0.99494 288.29031
353-6a 288.4509 0.99192 286.11885
353-6b 292.4022 0.99857 291.9836
353-7 285.1847 0.98474 280.832
353-8 282.9961 0.98148 277.75429
