Detector-name Unit-Conversion Colour-Correction UCxCC
LFI28S 22.4063 1.0529 23.59169
LFI28M 23.9032 1.03508 24.74167
LFI27S 23.2801 1.04289 24.27846
LFI27M 22.848 1.04575 23.89327
LFI26S 56.8312 1.00104 56.89056
LFI26M 56.3419 1.00442 56.5911
LFI25S 57.2365 0.99952 57.20911
LFI25M 56.5292 1.00281 56.68788
LFI24S 56.7627 1.00222 56.88887
LFI24M 58.2446 0.99537 57.97503
LFI23S 139.4653 0.99068 138.16595
LFI23M 136.5413 0.99565 135.94684
LFI22S 147.3279 0.97745 144.00505
LFI22M 140.2334 0.98989 138.81546
LFI21S 130.8944 1.00821 131.96935
LFI21M 134.4974 1.0013 134.67215
LFI20S 130.3451 1.00917 131.54104
LFI20M 128.1793 1.01329 129.88278
LFI19S 130.9553 1.00752 131.93986
LFI19M 119.9145 1.03079 123.60637
LFI18S 132.7727 1.00591 133.5576
