Detector-name Unit-Conversion Colour-Correction UCxCC
030-28S 22.4063 1.0529 23.59169
030-28M 23.9032 1.03508 24.74167
030-27S 23.2801 1.04289 24.27846
030-27M 22.848 1.04575 23.89327
044-26S 56.8312 1.00104 56.89056
044-26M 56.3419 1.00442 56.5911
044-25S 57.2365 0.99952 57.20911
044-25M 56.5292 1.00281 56.68788
044-24S 56.7627 1.00222 56.88887
044-24M 58.2446 0.99537 57.97503
070-23S 139.4653 0.99068 138.16595
070-23M 136.5413 0.99565 135.94684
070-22S 147.3279 0.97745 144.00505
070-22M 140.2334 0.98989 138.81546
070-21S 130.8944 1.00821 131.96935
070-21M 134.4974 1.0013 134.67215
070-20S 130.3451 1.00917 131.54104
070-20M 128.1793 1.01329 129.88278
070-19S 130.9553 1.00752 131.93986
070-19M 119.9145 1.03079 123.60637
070-18S 132.7727 1.00591 133.5576
